classe,massa_msun,raio_mpc,log10_massa,log10_raio,T_lambda,log10_T_lambda,R_lambda_mpc,raio_sobre_R_lambda,regime_TEC
halo_galactico,1278353538506.2854,0.13653004602338265,12.10665097791405,-0.8647717633760998,0.001440356095621586,-2.8415301250957237,1.208940550444284,0.11293363099881797,bound
halo_galactico,432519371078.21423,0.1692385743639803,11.636005562815827,-0.7715006417457556,0.008108278455905664,-2.0910713451064673,0.8424092752566457,0.2008982798918265,bound
halo_galactico,1830871728435.993,0.1641778906955638,12.26265791853226,-0.7846853283092577,0.0017487279018546012,-2.757277760513408,1.3627219724941861,0.12047790672595488,bound
halo_galactico,2134015899118.8054,0.09185914219698556,12.329197650736925,-1.0368776144466731,0.0002627880721468948,-3.580394351130318,1.4341255371701809,0.06405237185737742,bound
halo_galactico,207557142961.90857,0.1577967144431911,11.317137683971158,-0.8019020436744251,0.013695955238185974,-1.8634076720478068,0.659528924739889,0.23925670053883444,bound
halo_galactico,350136327807.3521,0.16813017539188443,11.544237172598189,-0.774354333972219,0.009820553556901836,-2.0078640315682197,0.7851157262031235,0.21414699741778723,bound
halo_galactico,1108521551933.813,0.48249721121258515,12.04474414110855,-0.31650519249321585,0.07331222904614858,-1.1348235756415717,1.1528407856598342,0.4185289219590071,bound
halo_galactico,775023895179.02,0.3592269593522779,11.889315092679746,-0.4446310777436659,0.043274077351641925,-1.3637721829641178,1.0231979230433208,0.3510825728455556,bound
halo_galactico,986551122084.4764,0.10217657241771674,11.9941195948735,-0.9906486701117639,0.0007822949698367706,-3.106629462262165,1.1089053632997443,0.0921418326570919,bound
halo_galactico,502845566459.80505,0.13259383372885472,11.701434625349247,-0.8774766723098352,0.0033540652001778654,-2.4744284993321264,0.885794190171696,0.14968921133153254,bound
halo_galactico,2031371201415.3247,0.07714567789567135,12.30778929120199,-1.1126884003674005,0.00016352405598060954,-3.7864183493575654,1.4107532174393114,0.05468403470005912,bound
halo_galactico,1871660941372.6687,0.11530777638433704,12.272227177400133,-0.9381414027926973,0.000592631534742883,-3.2272152428315986,1.372767571735128,0.08399657652066492,bound
halo_galactico,1054655797035.0903,0.17503342891199244,12.023110744146425,-0.7568789992819318,0.0036786494197578435,-2.4343115990455946,1.1338567776282547,0.15436996309015208,bound
halo_galactico,2480472533629.2847,0.2637367949733214,12.394534422438811,-0.5788292758223532,0.005350740548694319,-2.2715861069592447,1.5078776121118305,0.17490596906200476,bound
halo_galactico,1457566136385.3613,0.1081890313534384,12.163628269788216,-0.9658167675487217,0.0006285756751373388,-3.201642429487755,1.2629826240040363,0.08566153587326997,bound
halo_galactico,500319739747.4263,0.1119877997345279,11.699247637990867,-0.9508292880135593,0.0020309565904335822,-2.6922993590849185,0.884308565554393,0.12663882732417076,bound
halo_galactico,1346054903433.8633,0.056304381748191815,12.129062774428874,-1.2494578059477308,9.594005225510302e-05,-4.01800004932544,1.22991626206117,0.04577903674013825,bound
halo_galactico,461733186138.2672,0.14043223762803708,11.66439108970985,-0.8525331841089815,0.004339558036379129,-2.3625544990901686,0.8609639798478373,0.16311046793485648,bound
halo_galactico,2029820365129.4192,0.09279340637376943,12.307457605457545,-1.0324828823719125,0.0002847933802837474,-3.545470109626656,1.4103941161123479,0.06579253650713456,bound
halo_galactico,960563170643.5724,0.11860748977241678,11.982525931154811,-0.9258878854732147,0.0012567432328472953,-2.9007534446278287,1.099081580025968,0.10791509195305998,bound
halo_galactico,861585086044.7933,0.10107129828811354,11.93529817275916,-0.9953721556335176,0.0008670048028325123,-3.0619784967130856,1.0599547935888634,0.09535434803393814,bound
halo_galactico,577663143789.564,0.14492639491727663,11.76167465945862,-0.8388525108505114,0.003812448194127232,-2.4187960490635283,0.9277112835044443,0.15621928664035953,bound
halo_galactico,2678486541538.3984,0.06736810352484164,12.427889468535911,-1.1715456782713263,8.258660999201526e-05,-4.083090360403264,1.5469790840784614,0.04354816701673311,bound
halo_galactico,882906433213.103,0.07701777198097158,11.94591468127592,-1.113409049078198,0.00037436420297000313,-3.426705685563887,1.0686270899219847,0.07207170088360222,bound
halo_galactico,708084784471.6079,0.40350546621456956,11.850085262242912,-0.3941505775943403,0.06712729514882206,-1.1731008520793067,0.9928486274627828,0.406411868892567,bound
halo_galactico,752927669351.536,0.08365954220602476,11.876753257329119,-1.0774845162548061,0.0005626383578548822,-3.249770663146911,1.0133800994690492,0.08255494877969025,bound
halo_galactico,1535706473422.3948,0.09133618849220597,12.186308214943672,-1.0393571156909278,0.0003589686989045598,-3.4449434190698294,1.285160465935878,0.07106987097186594,bound
halo_galactico,1342472575453.6692,0.3526815214628776,12.127905422527427,-0.4526172943357371,0.02364170736723589,-1.6263211625880118,1.2288242120450596,0.28700730178153844,bound
halo_galactico,1394621685911.2114,0.5767843045419949,12.144456414058595,-0.2389865661519186,0.09954513282747225,-1.0019799695677247,1.244533974893525,0.46345404478920815,bound
